NAME=Cool Muse,HARDWARE=INTERAXON-MUSE,FS=220,#CH=4,DATA=ffffi,PRESET=14,OSCPORT=5000,FILE=log20141210_195303.csv
A1,FP1,FP2,A2,STATUS
407.955,511.589,258.262,797.815,0.000
407.955,537.909,337.221,903.094,0.000
513.234,537.909,389.860,955.734,0.000
434.275,590.548,258.262,876.775,0.000
381.635,603.708,310.901,824.135,0.000
434.275,472.109,231.942,824.135,0.000
434.275,472.109,231.942,929.414,0.000
539.554,524.749,231.942,955.734,0.000
381.635,590.548,337.221,850.455,0.000
407.955,643.187,231.942,837.295,0.000
302.676,590.548,258.262,863.615,0.000
355.316,511.589,205.623,810.975,0.000
328.996,564.228,231.942,916.254,0.000
434.275,564.228,310.901,968.893,0.000
328.996,511.589,126.663,850.455,0.000
302.676,695.827,231.942,824.135,0.000
328.996,537.909,205.623,824.135,0.000
381.635,511.589,179.303,929.414,0.000
460.594,590.548,231.942,982.053,0.000
276.357,643.187,310.901,850.455,0.000
328.996,643.187,205.623,837.295,0.000
302.676,511.589,179.303,850.455,0.000
328.996,511.589,231.942,850.455,0.000
276.357,564.228,284.582,889.934,0.000
407.955,590.548,337.221,982.053,0.000
713.921,812.620,855.390,787.946,0.000
661.282,891.579,802.750,735.306,0.000
740.241,733.661,776.431,774.786,0.000
792.881,759.981,776.431,866.905,0.000
845.520,838.940,802.750,906.384,0.000
634.962,865.260,881.709,748.466,0.000
661.282,865.260,776.431,722.146,0.000
661.282,759.981,697.472,787.946,0.000
713.921,733.661,750.111,774.786,0.000
661.282,812.620,855.390,787.946,0.000
766.561,838.940,908.029,893.224,0.000
582.323,759.981,697.472,748.466,0.000
582.323,891.579,750.111,708.987,0.000
661.282,786.301,750.111,761.626,0.000
687.602,733.661,776.431,840.585,0.000
766.561,812.620,723.791,853.745,0.000
608.643,838.940,881.709,748.466,0.000
634.962,852.100,723.791,695.827,0.000
608.643,733.661,644.832,774.786,0.000
687.602,713.921,750.111,774.786,0.000
556.003,891.579,829.070,774.786,0.000
687.602,838.940,829.070,853.745,0.000
503.364,799.460,697.472,722.146,0.000
